member_id,first_name,last_name,sex,email,city_id
1,Ollie,Kinney,M,Ol.Kinney@walla.co.il,4
2,Landon,Bishop,F,La.Bi@gmail.com,4
3,Jia,Delarosa,M,Jia.De@gmail.com,4
4,Valentina,Ratcliffe,F,Va.Ratcliffe@gmail.com,4
5,Stacie,Patel,F,St.Patel@hotmail.com,3
6,Fallon,Case,M,Fa.Case@walla.co.il,3
7,Asia,Tang,F,Asia.Ta@hotmail.com,4
8,Jadine,Holt,F,Ja.Holt@yahoo.com,5
9,Maison,Watt,M,Maison.Watt@gmail.com,2
10,Mahad,Ware,M,Ma.Ware@walla.co.il,5
11,Louisa,Grant,F,Lo.Gr@gmail.com,2
12,Glyn,Cooper,M,Gl.Co@hotmail.com,3
13,Jed,Fuentes,M,Je.Fu@hotmail.com,5
14,Clarke,Ponce,M,Clarke.Ponce@walla.co.il,2
15,Krystal,Bridges,F,Krystal.Bridges@hotmail.com,4
16,Sonia,Rosales,F,So.Ro@yahoo.com,5
17,Ellis,Coates,F,El.Co@gmail.com,3
18,Rohan,Farrell,F,Ro.Fa@yahoo.com,3
19,Nico,Hastings,M,Ni.Hastings@walla.co.il,5
20,Adelina,Ashley,F,Ad.As@hotmail.com,4
21,Marlon,Day,M,Marlon.Day@gmail.com,1
22,Mikaela,Croft,F,Mi.Croft@gmail.com,5
23,Isla-Rose,Heaton,F,Isla-Rose.He@gmail.com,3
24,Amy-Louise,Mayo,F,Am.Mayo@gmail.com,4
25,Safwan,Flowers,M,Sa.Flowers@hotmail.com,1
26,Estelle,Doherty,F,Estelle.Do@hotmail.com,4
27,Seth,Calvert,M,Se.Ca@walla.co.il,3
28,Cassidy,Villa,F,Cassidy.Villa@walla.co.il,1
29,Madison,Sanchez,F,Madison.Sanchez@hotmail.com,3
30,Anisah,Downs,F,An.Do@yahoo.com,3
31,Kaisha,Watkins,F,Kaisha.Watkins@walla.co.il,2
32,Fox,Hunt,M,Fox.Hu@walla.co.il,4
33,Elspeth,Zuniga,F,El.Zu@gmail.com,3
34,Leoni,Lindsay,F,Leoni.Lindsay@yahoo.com,2
35,Ines,Lott,M,Ines.Lo@hotmail.com,5
36,Sarah,Crossley,F,Sarah.Cr@hotmail.com,1
37,Robert,Mckee,M,Robert.Mckee@gmail.com,4
38,Nathalie,Marshall,F,Na.Marshall@yahoo.com,5
39,Alyx,Conway,M,Alyx.Conway@walla.co.il,1
40,Mairead,Acevedo,F,Ma.Acevedo@walla.co.il,4
41,Hadi,Gardiner,M,Hadi.Ga@hotmail.com,4
42,Aahil,Redman,M,Aahil.Re@hotmail.com,3
43,Simrah,Greig,F,Si.Greig@yahoo.com,4
44,Evie,Berg,F,Ev.Be@gmail.com,4
